City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
123,mahad,IN,2022-06-02 21:59:53,18.0833,73.4167,80.08,80,99,0.72,overcast clouds,0.0,0
124,mahebourg,MU,2022-06-02 21:54:55,-20.4081,57.7,75.49,69,40,8.05,scattered clouds,0.0,0
125,conceicao do mato dentro,BR,2022-06-02 21:59:54,-19.0372,-43.425,67.33,51,4,1.95,clear sky,0.0,0
126,simbahan,PH,2022-06-02 21:59:54,6.3032,120.5836,82.58,73,84,5.75,broken clouds,0.0,0
127,pekalongan,ID,2022-06-02 21:59:54,-6.8886,109.6753,77.22,82,78,5.26,broken clouds,0.0,0
128,petropavlovsk-kamchatskiy,RU,2022-06-02 21:59:55,53.0452,158.6483,48.79,71,75,2.24,broken clouds,0.0,0
129,comodoro rivadavia,AR,2022-06-02 21:59:55,-45.8667,-67.5,40.86,52,0,6.91,clear sky,0.0,0
130,sitio novo do tocantins,BR,2022-06-02 21:59:55,-5.5183,-47.4611,87.73,58,20,4.61,few clouds,0.0,0
131,sao jose da coroa grande,BR,2022-06-02 21:59:56,-8.8978,-35.1478,76.98,87,100,5.68,overcast clouds,0.0,0
132,hithadhoo,MV,2022-06-02 21:57:31,-0.6,73.0833,83.05,73,85,11.88,overcast clouds,0.0,0
133,north las vegas,US,2022-06-02 21:58:05,36.1989,-115.1175,102.31,6,4,7.0,clear sky,0.0,0
134,vao,NC,2022-06-02 21:59:56,-22.6667,167.4833,72.59,59,84,7.07,broken clouds,0.0,0
135,meulaboh,ID,2022-06-02 21:59:57,4.1363,96.1285,73.92,95,100,5.84,overcast clouds,0.0,0
136,laguna,US,2022-06-02 21:59:57,38.421,-121.4238,91.31,29,75,5.99,broken clouds,0.0,0
137,beloha,MG,2022-06-02 21:59:57,-25.1667,45.05,60.48,80,18,5.86,few clouds,0.0,0
138,hoshiarpur,IN,2022-06-02 21:59:58,31.5322,75.9172,86.38,14,10,6.4,clear sky,0.0,0
139,kaitangata,NZ,2022-06-02 21:59:58,-46.2817,169.8464,45.37,81,100,13.42,overcast clouds,0.0,0
140,new norfolk,AU,2022-06-02 21:59:58,-42.7826,147.0587,47.88,83,100,3.11,overcast clouds,0.0,0
141,kodiak,US,2022-06-02 21:59:59,57.79,-152.4072,60.39,48,18,3.85,few clouds,0.0,0
142,kaeo,NZ,2022-06-02 21:59:59,-35.1,173.7833,59.32,87,26,13.51,scattered clouds,0.0,0
143,kysyl-syr,RU,2022-06-02 21:59:59,63.8986,122.7617,58.62,79,23,5.99,few clouds,0.0,0
144,avarua,CK,2022-06-02 21:57:21,-21.2078,-159.775,77.05,65,20,17.27,few clouds,0.0,0
145,sitka,US,2022-06-02 22:00:00,57.0531,-135.33,55.29,76,75,3.44,mist,0.0,0
146,amudat,UG,2022-06-02 22:00:01,1.95,34.95,68.54,56,98,0.4,overcast clouds,0.0,0
