City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,Okitipupa,6.5047,4.7839,79.27,83,72,4.09,NG,2022-05-07 18:01:47
131,Port Elizabeth,-33.918,25.5701,62.89,79,75,8.05,ZA,2022-05-07 17:59:35
132,Saint-Joseph,-21.3667,55.6167,71.98,79,34,12.01,RE,2022-05-07 18:01:47
133,Tuktoyaktuk,69.4541,-133.0374,30.06,88,100,7.4,CA,2022-05-07 18:01:48
134,Grants Pass,42.439,-123.3284,51.64,84,40,6.91,US,2022-05-07 18:01:48
135,Port Lincoln,-34.7333,135.8667,55.74,80,7,1.23,AU,2022-05-07 18:00:19
136,Bambous Virieux,-20.3428,57.7575,78.22,88,40,9.22,MU,2022-05-07 18:01:49
137,Pinotepa Nacional,16.3167,-98.0167,96.66,24,96,6.69,MX,2022-05-07 18:01:50
138,Hilo,19.7297,-155.09,83.28,91,100,4.61,US,2022-05-07 18:00:35
139,Wardha,20.75,78.6167,95.0,23,61,5.66,IN,2022-05-07 18:01:50
140,Gamba,-2.65,10.0,77.63,84,84,2.82,GA,2022-05-07 18:02:51
141,Chuy,-33.6971,-53.4616,70.93,53,0,3.09,UY,2022-05-07 18:02:51
142,Fortuna,40.5982,-124.1573,53.65,94,75,9.22,US,2022-05-07 18:00:21
143,Lewistown,40.5992,-77.5714,50.18,100,100,13.8,US,2022-05-07 18:02:51
144,Baillif,16.0202,-61.7463,80.1,77,44,13.91,GP,2022-05-07 18:02:52
145,Vila Velha,-20.3297,-40.2925,76.98,69,2,15.41,BR,2022-05-07 18:00:33
146,Harrison,30.4091,-89.0436,85.05,49,0,9.22,US,2022-05-07 18:02:52
147,Sabzevar,36.2126,57.6819,77.67,31,94,21.85,IR,2022-05-07 18:02:53
148,Moranbah,-22.0016,148.0466,63.55,70,89,18.72,AU,2022-05-07 18:02:53
149,Ponta Do Sol,32.6667,-17.1,69.12,63,56,6.13,PT,2022-05-07 18:01:49
150,Porto Novo,6.4965,2.6036,80.42,78,89,6.13,BJ,2022-05-07 18:02:54
151,Bengkulu,-3.8004,102.2655,76.19,90,100,6.71,ID,2022-05-07 18:02:54
152,Esperance,-33.8667,121.9,57.54,48,78,16.46,AU,2022-05-07 18:02:54
153,Lagoa,39.05,-27.9833,60.91,65,50,5.75,PT,2022-05-07 17:59:28
154,Pangai,-19.8,-174.35,76.1,74,100,5.82,TO,2022-05-07 18:02:55
155,Laguna,38.421,-121.4238,68.29,48,0,5.75,US,2022-05-07 18:02:55
156,Asau,46.4333,26.4,56.32,69,64,1.63,RO,2022-05-07 18:02:56
157,Airai,-8.9266,125.4092,60.15,96,61,3.89,TL,2022-05-07 18:02:56
158,Naze,28.3667,129.4833,69.15,84,76,5.1,JP,2022-05-07 18:02:56
159,Zabaykalsk,49.6333,117.3167,45.39,38,11,12.39,RU,2022-05-07 18:02:57
160,San Quintin,30.4833,-115.95,65.12,72,52,13.65,MX,2022-05-07 18:02:57
161,Kodiak,57.79,-152.4072,44.24,62,4,4.99,US,2022-05-07 18:01:15
162,Marzuq,14.4,46.4667,77.79,39,42,6.06,YE,2022-05-07 18:02:58
163,Mount Isa,-20.7333,139.5,60.57,41,0,5.75,AU,2022-05-07 18:02:58
164,Antibes,43.5624,7.1278,67.48,62,75,10.36,FR,2022-05-07 17:58:48
165,Beloha,-25.1667,45.05,69.6,88,32,4.14,MG,2022-05-07 18:00:36
166,Henties Bay,-22.116,14.2845,58.55,85,0,12.41,NA,2022-05-07 18:02:59
167,Upernavik,72.7868,-56.1549,19.6,69,4,6.62,GL,2022-05-07 18:02:59
168,Kassala,15.451,36.4,94.5,24,58,16.22,SD,2022-05-07 18:03:00
169,Dzaoudzi,-12.7887,45.2699,80.49,78,20,8.05,YT,2022-05-07 18:03:00
170,Alamosa,37.4695,-105.87,73.38,13,0,21.85,US,2022-05-07 18:02:04
171,Nikolskoye,59.7035,30.7861,53.71,82,30,4.36,RU,2022-05-07 18:03:00
172,Taylor,32.3001,-99.8337,101.66,18,20,16.11,US,2022-05-07 18:01:40
173,Ostra,43.6139,13.1582,60.73,70,75,4.61,IT,2022-05-07 18:03:01
174,Paamiut,61.994,-49.6678,34.23,85,28,12.03,GL,2022-05-07 18:03:01
175,Aklavik,68.2191,-135.0107,32.04,87,97,8.48,CA,2022-05-07 18:03:02
176,Zhezkazgan,47.8043,67.7144,51.37,28,11,20.4,KZ,2022-05-07 18:03:02
177,Kieta,-6.2167,155.6333,78.64,84,99,0.85,PG,2022-05-07 18:03:03
178,Margate,51.3813,1.3862,59.31,88,15,5.01,GB,2022-05-07 18:03:03
179,La Joya,18.6667,-99.4667,91.38,24,75,5.17,MX,2022-05-07 18:03:04
180,Orasac,44.6289,16.0711,55.11,98,98,2.77,BA,2022-05-07 18:03:04
181,Sao Filipe,14.8961,-24.4956,74.05,77,49,15.66,CV,2022-05-07 18:03:05
182,Faanui,-16.4833,-151.75,80.56,78,12,7.76,PF,2022-05-07 18:03:05
183,Colesberg,-30.72,25.0972,50.67,78,90,10.29,ZA,2022-05-07 18:03:06
184,Hirado,33.3597,129.5531,63.39,85,56,22.93,JP,2022-05-07 17:58:11
185,Presidencia Roque Saenz Pena,-26.7852,-60.4388,78.75,46,78,5.48,AR,2022-05-07 18:03:07
186,Longyearbyen,78.2186,15.6401,13.84,67,75,10.36,SJ,2022-05-07 17:59:59
187,Comodoro Rivadavia,-45.8667,-67.5,65.08,55,100,17.94,AR,2022-05-07 18:03:07
188,Touho,-20.7833,165.2333,75.29,74,72,21.18,NC,2022-05-07 18:04:08
189,Sumbe,-11.2061,13.8437,77.63,81,100,5.44,AO,2022-05-07 18:04:08
190,Tromso,69.6496,18.957,33.82,86,75,4.61,NO,2022-05-07 18:04:09
191,Kendari,-3.945,122.4989,76.55,94,89,1.25,ID,2022-05-07 18:04:09
192,Provideniya,64.3833,-173.3,31.12,92,100,7.2,RU,2022-05-07 18:04:10
193,Bogalusa,30.791,-89.8487,86.0,45,0,3.44,US,2022-05-07 18:01:12
194,Kavaratti,10.5669,72.642,84.67,71,20,11.01,IN,2022-05-07 18:01:38
195,North Bend,43.4065,-124.2243,51.71,87,100,14.97,US,2022-05-07 18:00:19
196,Abonnema,4.7084,6.7931,81.57,79,100,7.67,NG,2022-05-07 18:04:10
197,Yinchuan,38.4681,106.2731,67.68,26,97,14.58,CN,2022-05-07 18:00:10
198,San Rafael,-34.6177,-68.3301,79.03,20,0,16.37,AR,2022-05-07 18:00:32
199,Leningradskiy,69.3833,178.4167,19.96,95,97,2.84,RU,2022-05-07 18:04:11
200,Kiama,-34.6833,150.8667,57.38,59,0,13.0,AU,2022-05-07 18:04:11
201,Hovd,48.0056,91.6419,61.7,27,98,7.81,MN,2022-05-07 18:04:12
202,Carnarvon,-24.8667,113.6333,75.29,49,21,8.5,AU,2022-05-07 18:01:46
203,Izhma,65.0083,53.9113,39.38,95,87,7.09,RU,2022-05-07 18:04:13
